a,b,c,latitude,longitude,f
서울청,서울종로경찰서,세종로파출소,126.9763591,37.5689804,중구 태평로 1가 68
서울청,서울중부경찰서,광희지구대,127.0134056,37.5652525,중구 신당동 250-10
서울청,서울중부경찰서,서울중부경찰서,126.9896139,37.5635144,중구 저동2가 62-1
서울청,서울중부경찰서,신당파출소,127.0163928,37.5650526,중구 신당5동 100-1
서울청,서울중부경찰서,약수지구대,127.012375,37.552175,중구 신당3동 844-3
서울청,서울중부경찰서,을지로3가파출소,126.9928763,37.5661306,중구 을3가 291-50
서울청,서울중부경찰서,을지지구대,127.0038758,37.5665337,중구 을지5가 72-2
서울청,서울중부경찰서,장충파출소,127.0047941,37.55877,중구 장충2가 196-2
서울청,서울중부경찰서,충무파출소,126.9915414,37.5608047,중구 필동1가 20-5
서울청,서울남대문경찰서,남대문파출소,126.9764128,37.559012,중구 남창동 51-1
서울청,서울남대문경찰서,명동파출소,126.9839591,37.5636434,중구 명동2가 50-13
서울청,서울남대문경찰서,서소문파출소,126.9754723,37.5638243,중구 서소문동 24
서울청,서울남대문경찰서,서울남대문경찰서,126.9734875,37.5547667,중구 남대문로5가 561
서울청,서울남대문경찰서,서울역파출소,126.9716474,37.5569113,중구 봉래동 2가 122
서울청,서울남대문경찰서,중림파출소,126.967116,37.5578854,중구 중림동 203
서울청,서울남대문경찰서,태평로파출소,126.9799962,37.5679932,중구 다동 48
서울청,서울남대문경찰서,회현파출소,126.9787466,37.5583279,중구 회현동1가 194-15
